cik,name,alias,alias_clean,alias_source
0000799698,LadRx Corp,CYTRX CORP,cytrx,input_alias
0000799850,AMERICAS CARMART INC,CROWN CASINO CORP,crown casino,input_alias
0000799850,AMERICAS CARMART INC,CROWN GROUP INC /TX/,crown group inc tx,input_alias
0000799850,AMERICAS CARMART INC,SKYLINK AMERICA INC,skylink america,input_alias
0000800240,ODP Corp,OFFICE DEPOT INC,office depot,input_alias
0000802257,"Mitesco, Inc.",BRAIN TREE INTERNATIONAL INC,brain tree international,input_alias
0000802257,"Mitesco, Inc.","True Nature Holding, Inc.",true nature holding,input_alias
0000802257,"Mitesco, Inc.","Trunity Holdings, Inc.",trunity holdings,input_alias
0000803164,CHOICEONE FINANCIAL SERVICES INC,1ST COMMUNITY BANCORP INC,1st community bancorp,input_alias
0000803578,"FIREFLY NEUROSCIENCE, INC.",INFORMATION ANALYSIS INC,information analysis,input_alias
0000803578,"FIREFLY NEUROSCIENCE, INC.","WAVEDANCER, INC.",wavedancer,input_alias
0000803649,EQC Liquidating Trust,CommonWealth REIT,commonwealth reit,input_alias
0000803649,EQC Liquidating Trust,Equity Commonwealth,equity commonwealth,input_alias
0000803649,EQC Liquidating Trust,HEALTH & RETIREMENT PROPERTIES TRUST,health retirement properties trust,input_alias
0000803649,EQC Liquidating Trust,HRPT PROPERTIES TRUST,hrpt properties trust,input_alias
0000804269,"General Motors Financial Company, Inc.",AMERICREDIT CORP,americredit,input_alias
0000804269,"General Motors Financial Company, Inc.",URCARCO INC,urcarco,input_alias
0000805928,"Axogen, Inc.",LECTEC CORP /MN/,lectec corp mn,input_alias
0000807882,JACK IN THE BOX INC,FOODMAKER INC /DE/,foodmaker inc de,input_alias
0000807882,JACK IN THE BOX INC,JACK IN THE BOX INC /NEW/,jack in the box inc new,input_alias
0000810136,PHOTRONICS INC,PHOTRONIC LABS INC,photronic labs,input_alias
0000810332,MESA AIR GROUP INC,MESA AIRLINES INC,mesa airlines,input_alias
0000811222,Cardiff Lexington Corp,CARDIFF FINANCIAL INC,cardiff financial,input_alias
0000811222,Cardiff Lexington Corp,CARDIFF INTERNATIONAL INC,cardiff international,input_alias
0000811222,Cardiff Lexington Corp,UNITED AMERICAN INC,united american,input_alias
0000811596,KAISER ALUMINUM CORP,KAISERTECH LTD,kaisertech,input_alias
0000811830,"Santander Holdings USA, Inc.",SOVEREIGN BANCORP INC,sovereign bancorp,input_alias
0000812074,"O-I Glass, Inc. /DE/",OWENS ILLINOIS INC /DE/,owens illinois inc de,input_alias
0000812074,"O-I Glass, Inc. /DE/",OWENS-ILLINOIS INC /DE/,owensillinois inc de,input_alias
